,Date,season,week
0,2024-09-09,2025,1
0,2024-09-12,2025,2
0,2024-09-15,2025,2
0,2024-09-16,2025,2
0,2024-09-19,2025,3
0,2024-09-22,2025,3
0,2024-09-23,2025,3
0,2024-09-26,2025,4
0,2024-09-29,2025,4
0,2024-09-30,2025,4
0,2024-10-03,2025,5
0,2024-10-06,2025,5
0,2024-10-07,2025,5
0,2024-10-10,2025,6
0,2024-10-13,2025,6
0,2024-10-14,2025,6
0,2024-10-17,2025,7
0,2024-10-20,2025,7
0,2024-10-21,2025,7
0,2024-10-24,2025,8
0,2024-10-27,2025,8
0,2024-10-28,2025,8
0,2024-10-31,2025,9
0,2024-11-03,2025,9
0,2024-11-04,2025,9
0,2024-11-07,2025,10
0,2024-11-10,2025,10
0,2024-11-11,2025,10
0,2024-11-14,2025,11
0,2024-11-17,2025,11
0,2024-11-18,2025,11
0,2024-11-21,2025,12
0,2024-11-24,2025,12
0,2024-11-25,2025,12
0,2024-11-28,2025,13
0,2024-11-29,2025,13
0,2024-12-01,2025,13
0,2024-12-02,2025,13
0,2024-12-05,2025,14
0,2024-12-08,2025,14
0,2024-12-09,2025,14
0,2024-12-12,2025,15
0,2024-12-15,2025,15
0,2024-12-16,2025,15
0,2024-12-19,2025,16
0,2024-12-21,2025,16
0,2024-12-22,2025,16
0,2024-12-23,2025,16
0,2024-12-25,2025,17
0,2024-12-26,2025,17
0,2024-12-28,2025,17
0,2024-12-29,2025,17
0,2024-12-30,2025,17
0,2025-01-05,2025,18
0,2025-01-11,2025,19
0,2025-01-12,2025,19
0,2025-01-13,2025,19
0,2025-01-18,2025,20
0,2025-01-19,2025,20
0,2025-01-26,2025,21
0,2025-02-09,2025,22
0,2025-09-04,2025,1
0,2025-09-05,2025,1
0,2025-09-07,2025,1
0,2025-09-08,2025,1
0,2025-09-11,2025,2
0,2025-09-14,2025,2
0,2025-09-15,2025,2
0,2025-09-18,2025,3
0,2025-09-21,2025,3
0,2025-09-22,2025,3
0,2025-09-25,2025,4
0,2025-09-28,2025,4
0,2025-09-29,2025,4
0,2025-10-02,2025,5
0,2025-10-05,2025,5
0,2025-10-06,2025,5
0,2025-10-09,2025,6
0,2025-10-12,2025,6
0,2025-10-13,2025,6
0,2025-10-16,2025,7
0,2025-10-19,2025,7
0,2025-10-20,2025,7
0,2025-10-23,2025,8
0,2025-10-26,2025,8
0,2025-10-27,2025,8
0,2025-10-30,2025,9
0,2025-11-02,2025,9
0,2025-11-03,2025,9
0,2025-11-06,2025,10
0,2025-11-09,2025,10
0,2025-11-10,2025,10
0,2025-11-13,2025,11
0,2025-11-16,2025,11
0,2025-11-17,2025,11
0,2025-11-20,2025,12
0,2025-11-23,2025,12
0,2025-11-24,2025,12
0,2025-11-27,2025,13
0,2025-11-28,2025,13
0,2025-11-30,2025,13
0,2025-12-01,2025,13
0,2025-12-04,2025,14
0,2025-12-07,2025,14
0,2025-12-08,2025,14
0,2025-12-11,2025,15
0,2025-12-14,2025,15
0,2025-12-15,2025,15
0,2025-12-18,2025,16
0,2025-12-20,2025,16
0,2025-12-21,2025,16
0,2025-12-22,2025,16
0,2025-12-25,2025,17
0,2025-12-28,2025,17
0,2025-12-29,2025,17
0,2026-01-04,2025,18
